TrialID	BlockCount	DisplaySampleDuration	PostSampleDelayDuration	DisplayPostSampleDistractorsDuration	PreTargetDelayDuration	SampleStimLocation	SearchStimIndices	SearchStimLocations	SearchStimTokenReward	PostSampleDistractorStimIndices	PostSampleDistractorStimLocations
WMTEST64	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[9,3,17]	[[-1, -1, 0],[-1, 1, 0],[3, 0, 0]]	[2,-1,-1]	[]	[]
WMTEST65	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[6,8,2]	[[1, -1, 0],[-1, 1, 0],[-3, 1, 0]]	[2,-1,-1]	[2,22,8]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST66	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[8,10,4]	[[4, 1, 0],[-3, 0, 0],[2, 1, 0]]	[2,-1,-1]	[10,4,13]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST67	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[9,10,5]	[[-1, -2, 0],[3, -2, 0],[1, 2, 0]]	[2,-1,-1]	[5,10,17]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST68	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[4,9,10]	[[1, -1, 0],[0, -2, 0],[0, -1, 0]]	[2,-1,-1]	[10,9,6]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST69	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[18,6,11]	[[0, 1, 0],[2, -1, 0],[-2, 1, 0]]	[2,-1,-1]	[6,11,14]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST70	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[11,17,8]	[[1, -1, 0],[2, 1, 0],[-4, 2, 0]]	[2,-1,-1]	[17,23,8]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST71	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[12,1,9]	[[4, 0, 0],[-4, -2, 0],[-4, 1, 0]]	[2,-1,-1]	[]	[]
WMTEST72	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[14,21,19]	[[2, 2, 0],[3, 2, 0],[1, 0, 0]]	[2,-1,-1]	[]	[]
WMTEST73	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[3,1,17]	[[1, 0, 0],[2, -2, 0],[1, 1, 0]]	[2,-1,-1]	[]	[]
WMTEST74	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[23,15,5]	[[0, 1, 0],[3, 1, 0],[2, 0, 0]]	[2,-1,-1]	[]	[]
WMTEST75	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[9,0,17]	[[-3, -1, 0],[0, 2, 0],[4, 1, 0]]	[2,-1,-1]	[]	[]
WMTEST76	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[8,16,12]	[[-4, -1, 0],[3, -1, 0],[0, -2, 0]]	[2,-1,-1]	[12,16,23]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST77	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[0,16,6]	[[1, -1, 0],[4, 0, 0],[-4, -1, 0]]	[2,-1,-1]	[5,16,6]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST78	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[18,7,9]	[[1, 2, 0],[2, -1, 0],[-1, 0, 0]]	[2,-1,-1]	[9,19,7]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST79	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[6,18,12]	[[-2, 0, 0],[-3, 0, 0],[0, -1, 0]]	[2,-1,-1]	[18,15,12]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST80	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[10,4,20]	[[-1, -2, 0],[4, 2, 0],[-2, 1, 0]]	[2,-1,-1]	[6,4,20]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST81	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[18,0,3]	[[-3, 1, 0],[2, 0, 0],[-4, 0, 0]]	[2,-1,-1]	[6,0,3]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST82	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[22,3,2]	[[1, 2, 0],[-3, -1, 0],[-2, -1, 0]]	[2,-1,-1]	[]	[]
WMTEST83	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[1,18,16]	[[4, -2, 0],[-2, -1, 0],[0, -1, 0]]	[2,-1,-1]	[]	[]
WMTEST84	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[5,6,12]	[[-3, 2, 0],[-2, 1, 0],[0, 2, 0]]	[2,-1,-1]	[]	[]
WMTEST85	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[0,12,18]	[[0, -2, 0],[-2, 2, 0],[-2, -2, 0]]	[2,-1,-1]	[12,18,13]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST86	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[19,2,1]	[[-4, -1, 0],[3, 2, 0],[-1, -1, 0]]	[2,-1,-1]	[]	[]
WMTEST87	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[10,4,11]	[[4, 1, 0],[-3, 0, 0],[3, -2, 0]]	[2,-1,-1]	[8,11,4]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST88	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[4,19,16]	[[1, 0, 0],[4, -1, 0],[0, -1, 0]]	[2,-1,-1]	[]	[]
WMTEST89	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[6,14,3]	[[-3, 1, 0],[3, 0, 0],[-2, 2, 0]]	[2,-1,-1]	[10,14,3]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST90	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[11,2,21]	[[4, -2, 0],[3, 1, 0],[-1, 1, 0]]	[2,-1,-1]	[2,8,21]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST91	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[5,14,11]	[[2, 1, 0],[-1, -1, 0],[3, -1, 0]]	[2,-1,-1]	[14,11,20]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST92	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[6,8,9]	[[2, -1, 0],[1, -1, 0],[-4, 1, 0]]	[2,-1,-1]	[8,14,9]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST93	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[12,11,22]	[[3, 2, 0],[-4, -1, 0],[2, 2, 0]]	[2,-1,-1]	[11,2,22]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST94	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[0,7,2]	[[-3, 0, 0],[-2, 0, 0],[-2, -1, 0]]	[2,-1,-1]	[2,7,16]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST95	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[20,17,12]	[[-4, 1, 0],[4, 0, 0],[4, 1, 0]]	[2,-1,-1]	[19,17,12]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST96	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[2,1,15]	[[3, 1, 0],[4, 0, 0],[-2, -1, 0]]	[2,-1,-1]	[15,1,18]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
