TrialID	BlockCount	DisplaySampleDuration	PostSampleDelayDuration	DisplayPostSampleDistractorsDuration	PreTargetDelayDuration	SampleStimLocation	SearchStimIndices	SearchStimLocations	SearchStimTokenReward	PostSampleDistractorStimIndices	PostSampleDistractorStimLocations
WM115	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[7,13,8]	[[-1, 1, 0],[4, -2, 0],[-3, 1, 0]]	[2,-1,-1]	[13,8,18]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM116	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[29,1,2]	[[-2, -1, 0],[-4, 1, 0],[3, -1, 0]]	[2,-1,-1]	[2,1,4]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM117	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[3,1,2]	[[2, -2, 0],[1, 0, 0],[-2, 2, 0]]	[2,-1,-1]	[]	[]
WM118	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[2,15,21]	[[4, 1, 0],[4, -2, 0],[3, 1, 0]]	[2,-1,-1]	[]	[]
WM119	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[14,5,16]	[[2, -1, 0],[3, 1, 0],[4, 2, 0]]	[2,-1,-1]	[]	[]
WM120	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[20,1,19]	[[-1, 1, 0],[2, 1, 0],[4, 1, 0]]	[2,-1,-1]	[]	[]
WM121	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[7,29,2]	[[0, -2, 0],[1, 0, 0],[0, -1, 0]]	[2,-1,-1]	[]	[]
WM122	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[10,25,16]	[[-2, 1, 0],[0, -1, 0],[-3, -2, 0]]	[2,-1,-1]	[16,25,7]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM123	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[16,9,6]	[[0, 1, 0],[-3, -1, 0],[-1, -1, 0]]	[2,-1,-1]	[6,8,9]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM124	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[3,13,12]	[[-1, 1, 0],[-4, 1, 0],[0, -1, 0]]	[2,-1,-1]	[]	[]
WM125	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[25,4,29]	[[2, 0, 0],[-2, -2, 0],[4, 1, 0]]	[2,-1,-1]	[]	[]
WM126	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[15,21,3]	[[1, -2, 0],[-1, 0, 0],[-2, -1, 0]]	[2,-1,-1]	[]	[]
WM127	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[27,2,26]	[[-2, 0, 0],[-3, 1, 0],[-1, -1, 0]]	[2,-1,-1]	[]	[]
WM128	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[12,24,0]	[[4, -2, 0],[4, 2, 0],[0, 1, 0]]	[2,-1,-1]	[]	[]
WM129	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[20,17,14]	[[-3, 1, 0],[1, 1, 0],[-2, -1, 0]]	[2,-1,-1]	[]	[]
WM130	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[14,11,12]	[[1, 0, 0],[3, -1, 0],[2, -2, 0]]	[2,-1,-1]	[4,11,12]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM131	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[2,7,11]	[[-4, -1, 0],[-2, -2, 0],[3, -1, 0]]	[2,-1,-1]	[]	[]
WM132	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[12,26,17]	[[-2, -1, 0],[-1, 2, 0],[-4, 0, 0]]	[2,-1,-1]	[26,27,17]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM133	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[21,3,14]	[[-3, -2, 0],[-4, 0, 0],[-3, 0, 0]]	[2,-1,-1]	[]	[]
WM134	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[27,24,3]	[[0, 1, 0],[-3, -1, 0],[3, 1, 0]]	[2,-1,-1]	[24,9,3]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM135	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[18,15,24]	[[-4, -1, 0],[-1, -2, 0],[-2, 0, 0]]	[2,-1,-1]	[15,24,14]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM136	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[25,3,29]	[[-1, 1, 0],[-2, 1, 0],[-4, -2, 0]]	[2,-1,-1]	[29,3,18]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM137	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[29,18,13]	[[4, -2, 0],[-3, -2, 0],[-1, -2, 0]]	[2,-1,-1]	[13,18,28]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM138	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[10,19,21]	[[4, 0, 0],[3, -2, 0],[-4, 1, 0]]	[2,-1,-1]	[21,16,19]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM139	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[18,1,5]	[[2, 0, 0],[3, 1, 0],[-4, 2, 0]]	[2,-1,-1]	[]	[]
WM140	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[7,18,17]	[[4, 1, 0],[-3, 1, 0],[-2, 2, 0]]	[2,-1,-1]	[18,5,17]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM141	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[23,27,0]	[[1, 0, 0],[4, 0, 0],[3, 1, 0]]	[2,-1,-1]	[0,28,27]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM142	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[22,3,29]	[[-2, 0, 0],[0, 2, 0],[-4, -2, 0]]	[2,-1,-1]	[]	[]
WM143	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[11,6,13]	[[4, 1, 0],[4, -2, 0],[0, 2, 0]]	[2,-1,-1]	[12,6,13]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM144	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[25,5,4]	[[-1, 1, 0],[3, 0, 0],[-1, -2, 0]]	[2,-1,-1]	[]	[]
WM145	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[4,15,23]	[[2, -1, 0],[0, 1, 0],[-1, 0, 0]]	[2,-1,-1]	[]	[]
WM146	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[8,2,26]	[[0, -1, 0],[-4, 0, 0],[3, 1, 0]]	[2,-1,-1]	[26,2,20]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM147	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[14,10,5]	[[-1, -2, 0],[-2, -1, 0],[2, -2, 0]]	[2,-1,-1]	[23,5,10]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM148	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[0,24,26]	[[3, 1, 0],[2, 1, 0],[-4, 1, 0]]	[2,-1,-1]	[]	[]
WM149	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[9,28,1]	[[3, -2, 0],[-3, 1, 0],[2, 1, 0]]	[2,-1,-1]	[]	[]
WM150	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[24,11,28]	[[-1, 1, 0],[-3, -1, 0],[0, -2, 0]]	[2,-1,-1]	[]	[]
WM151	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[19,27,21]	[[-1, 2, 0],[-2, -2, 0],[3, 0, 0]]	[2,-1,-1]	[]	[]
WM152	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[19,3,11]	[[-2, -2, 0],[3, 2, 0],[2, 0, 0]]	[2,-1,-1]	[27,11,3]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM153	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[8,20,7]	[[3, -2, 0],[2, 2, 0],[-4, 2, 0]]	[2,-1,-1]	[7,24,20]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM154	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[9,3,16]	[[-1, 0, 0],[-1, -1, 0],[3, -2, 0]]	[2,-1,-1]	[]	[]
WM155	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[4,2,27]	[[-1, 0, 0],[4, -2, 0],[2, -2, 0]]	[2,-1,-1]	[]	[]
WM156	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[14,22,8]	[[-1, -1, 0],[2, 1, 0],[0, -2, 0]]	[2,-1,-1]	[24,22,8]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM157	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[17,7,26]	[[4, -2, 0],[-1, 1, 0],[-4, 0, 0]]	[2,-1,-1]	[]	[]
WM158	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[6,27,13]	[[2, 2, 0],[-1, 2, 0],[-2, 1, 0]]	[2,-1,-1]	[]	[]
WM159	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[3,23,10]	[[2, -1, 0],[4, 0, 0],[-4, 1, 0]]	[2,-1,-1]	[]	[]
WM160	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[5,25,21]	[[0, -1, 0],[0, -2, 0],[4, -1, 0]]	[2,-1,-1]	[21,25,26]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
